\en	real	18	8	4	(2, 1)	RL	0	1	[]	[]
\en	real	18	8	4	(2, 4)	LR	1	1	['DET']	[('DET', 'NOUN', 'det')]
\en	real	18	8	4	(4, 3)	RL	0	1	[]	[]
\en	real	18	8	4	(4, 6)	LR	0	1	[]	[]
\en	real	18	8	4	(4, 9)	LR	2	2	['PROPN', 'PROPN']	[('PROPN', 'NOUN', 'appos'), ('PROPN', 'PROPN', 'flat')]
\en	real	18	8	4	(6, 7)	LR	0	1	[]	[]
\en	real	18	8	4	(9, 10)	LR	0	1	[]	[]
\en	real	20	8	5	(2, 1)	RL	0	1	[]	[]
\en	real	20	8	5	(3, 2)	RL	0	1	[]	[]
\en	real	20	8	5	(3, 4)	LR	0	1	[]	[]
\en	real	20	8	5	(3, 5)	LR	1	1	['ADV']	[('ADV', 'AUX', 'mod')]
\en	real	20	8	5	(5, 6)	LR	0	1	[]	[]
\en	real	20	8	5	(6, 8)	LR	1	1	['DET']	[('DET', 'NOUN', 'det')]
\en	real	20	8	5	(8, 7)	RL	0	1	[]	[]
\en	real	28	9	4	(2, 1)	RL	0	1	[]	[]
\en	real	28	9	4	(3, 2)	RL	0	1	[]	[]
\en	real	28	9	4	(3, 6)	LR	2	1	['DET', 'ADJ']	[('DET', 'NOUN', 'det'), ('ADJ', 'NOUN', 'mod')]
\en	real	28	9	4	(6, 4)	RL	1	1	['ADJ']	[('ADJ', 'NOUN', 'mod')]
\en	real	28	9	4	(6, 5)	RL	0	1	[]	[]
\en	real	28	9	4	(6, 9)	LR	2	1	['CCONJ', 'ADV']	[('CCONJ', 'VERB', 'cc'), ('ADV', 'VERB', 'mod')]
\en	real	28	9	4	(9, 7)	RL	1	1	['ADV']	[('ADV', 'VERB', 'mod')]
\en	real	28	9	4	(9, 8)	RL	0	1	[]	[]
\en	real	29	8	5	(2, 4)	LR	1	1	['PRON']	[('PRON', 'NOUN', 'mod@poss')]
\en	real	29	8	5	(4, 3)	RL	0	1	[]	[]
\en	real	29	8	5	(6, 1)	RL	4	3	['ADP', 'PRON', 'NOUN', 'PRON']	[('ADP', 'ADJ', 'udep'), ('PRON', 'NOUN', 'mod@poss'), ('NOUN', 'ADP', 'comp:obj'), ('PRON', 'AUX', 'subj')]
\en	real	29	8	5	(6, 5)	RL	0	1	[]	[]
\en	real	29	8	5	(6, 7)	LR	0	1	[]	[]
\en	real	29	8	5	(6, 8)	LR	1	1	['ADV']	[('ADV', 'AUX', 'mod')]
\en	real	29	8	5	(8, 2)	RL	5	3	['PRON', 'NOUN', 'PRON', 'AUX', 'ADV']	[('PRON', 'NOUN', 'mod@poss'), ('NOUN', 'ADP', 'comp:obj'), ('PRON', 'AUX', 'subj'), ('AUX', None, 'root'), ('ADV', 'AUX', 'mod')]
\en	real	36	10	6	(1, 3)	LR	1	1	['PRON']	[('PRON', 'VERB', 'subj')]
\en	real	36	10	6	(3, 2)	RL	0	1	[]	[]
\en	real	36	10	6	(3, 5)	LR	1	1	['DET']	[('DET', 'NOUN', 'det')]
\en	real	36	10	6	(5, 4)	RL	0	1	[]	[]
\en	real	36	10	6	(5, 6)	LR	0	1	[]	[]
\en	real	36	10	6	(6, 7)	LR	0	1	[]	[]
\en	real	36	10	6	(9, 1)	RL	6	4	['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN']	[('PRON', 'VERB', 'subj'), ('VERB', 'SCONJ', 'comp:obj'), ('DET', 'NOUN', 'det'), ('NOUN', 'VERB', 'comp:obj'), ('ADP', 'NOUN', 'udep'), ('NOUN', 'ADP', 'comp:obj')]
\en	real	36	10	6	(9, 11)	LR	1	1	['DET']	[('DET', 'NOUN', 'det')]
\en	real	36	10	6	(11, 10)	RL	0	1	[]	[]
\en	real	40	6	3	(2, 1)	RL	0	1	[]	[]
\en	real	40	6	3	(3, 2)	RL	0	1	[]	[]
\en	real	40	6	3	(3, 4)	LR	0	1	[]	[]
\en	real	40	6	3	(3, 5)	LR	1	1	['ADV']	[('ADV', 'VERB', 'mod')]
\en	real	40	6	3	(5, 6)	LR	0	1	[]	[]
\en	real	55	3	2	(3, 1)	RL	1	1	['PRON']	[('PRON', 'VERB', 'subj')]
\en	real	55	3	2	(3, 2)	RL	0	1	[]	[]
\en	real	63	9	5	(1, 3)	LR	0	1	[]	[]
\en	real	63	9	5	(4, 1)	RL	1	1	['PROPN']	[('PROPN', 'PROPN', 'flat')]
\en	real	63	9	5	(5, 4)	RL	0	1	[]	[]
\en	real	63	9	5	(5, 6)	LR	0	1	[]	[]
\en	real	63	9	5	(6, 8)	LR	1	1	['PROPN']	[('PROPN', 'AUX', 'subj')]
\en	real	63	9	5	(8, 7)	RL	0	1	[]	[]
\en	real	63	9	5	(8, 9)	LR	0	1	[]	[]
\en	real	63	9	5	(9, 10)	LR	0	1	[]	[]
\en	real	69	10	5	(3, 1)	RL	1	1	['PRON']	[('PRON', 'AUX', 'subj')]
\en	real	69	10	5	(3, 2)	RL	0	1	[]	[]
\en	real	69	10	5	(3, 4)	LR	0	1	[]	[]
\en	real	69	10	5	(4, 5)	LR	0	1	[]	[]
\en	real	69	10	5	(4, 7)	LR	2	1	['PROPN', 'CCONJ']	[('PROPN', 'VERB', 'comp:obj'), ('CCONJ', 'VERB', 'cc')]
\en	real	69	10	5	(7, 6)	RL	0	1	[]	[]
\en	real	69	10	5	(7, 10)	LR	2	1	['PRON', 'ADJ']	[('PRON', 'NOUN', 'mod@poss'), ('ADJ', 'NOUN', 'mod')]
\en	real	69	10	5	(10, 8)	RL	1	1	['ADJ']	[('ADJ', 'NOUN', 'mod')]
\en	real	69	10	5	(10, 9)	RL	0	1	[]	[]
\en	real	70	11	6	(2, 1)	RL	0	1	[]	[]
\en	real	70	11	6	(2, 3)	LR	0	1	[]	[]
\en	real	70	11	6	(2, 5)	LR	2	1	['PART', 'DET']	[('PART', 'AUX', 'mod'), ('DET', 'NOUN', 'det')]
\en	real	70	11	6	(5, 4)	RL	0	1	[]	[]
\en	real	70	11	6	(5, 6)	LR	0	1	[]	[]
\en	real	70	11	6	(6, 9)	LR	1	1	['NOUN']	[('NOUN', 'NOUN', 'compound')]
\en	real	70	11	6	(9, 7)	RL	0	1	[]	[]
\en	real	70	11	6	(9, 11)	LR	1	1	['CCONJ']	[('CCONJ', 'VERB', 'cc')]
\en	real	70	11	6	(11, 10)	RL	0	1	[]	[]
\en	real	70	11	6	(11, 12)	LR	0	1	[]	[]
\en	real	76	5	3	(2, 1)	RL	0	1	[]	[]
\en	real	76	5	3	(2, 5)	LR	1	1	['NUM']	[('NUM', 'NOUN', 'mod')]
\en	real	76	5	3	(5, 4)	RL	0	1	[]	[]
\en	real	76	5	3	(5, 6)	LR	0	1	[]	[]
\en	real	80	4	3	(2, 1)	RL	0	1	[]	[]
\en	real	80	4	3	(2, 4)	LR	1	1	['DET']	[('DET', 'NOUN', 'det')]
\en	real	80	4	3	(4, 3)	RL	0	1	[]	[]
\en	real	85	8	6	(2, 1)	RL	0	1	[]	[]
\en	real	85	8	6	(2, 4)	LR	1	1	['DET']	[('DET', 'NOUN', 'det')]
\en	real	85	8	6	(4, 3)	RL	0	1	[]	[]
\en	real	85	8	6	(4, 5)	LR	0	1	[]	[]
\en	real	85	8	6	(5, 6)	LR	0	1	[]	[]
\en	real	85	8	6	(6, 7)	LR	0	1	[]	[]
\en	real	85	8	6	(7, 8)	LR	0	1	[]	[]
\en	real	87	8	6	(2, 1)	RL	0	1	[]	[]
\en	real	87	8	6	(2, 4)	LR	1	1	['DET']	[('DET', 'NOUN', 'det')]
\en	real	87	8	6	(4, 3)	RL	0	1	[]	[]
\en	real	87	8	6	(4, 5)	LR	0	1	[]	[]
\en	real	87	8	6	(5, 6)	LR	0	1	[]	[]
\en	real	87	8	6	(6, 7)	LR	0	1	[]	[]
\en	real	87	8	6	(7, 8)	LR	0	1	[]	[]
\en	real	88	11	5	(1, 2)	LR	0	1	[]	[]
\en	real	88	11	5	(1, 8)	LR	6	4	['DET', 'ADP', 'DET', 'VERB', 'NOUN', 'CCONJ']	[('DET', 'VERB', 'comp:obj'), ('ADP', 'DET', 'udep'), ('DET', 'NOUN', 'det'), ('VERB', 'NOUN', 'mod'), ('NOUN', 'ADP', 'comp:obj'), ('CCONJ', 'VERB', 'cc')]
\en	real	88	11	5	(2, 3)	LR	0	1	[]	[]
\en	real	88	11	5	(3, 6)	LR	2	1	['DET', 'VERB']	[('DET', 'NOUN', 'det'), ('VERB', 'NOUN', 'mod')]
